Airfoil,w_l1,w_l2,w_l3,w_l4,w_l5,w_l6,w_u1,w_u2,w_u3,w_u4,w_u5,w_u6,Alpha,CL,CD
A14,-0.1689,-0.14259,-0.14178,-0.14145,-0.1385,-0.13054,0.169183,0.139505,0.170584,0.124218,0.135635,0.157387,10,1.0337,0.01917
A15,-0.19709,-0.16293,-0.16819,-0.15018,-0.14399,-0.14657,0.17646,0.17518,0.147283,0.124682,0.139167,0.158744,-2,-0.2447,0.0074
A15,-0.19709,-0.16293,-0.16819,-0.15018,-0.14399,-0.14657,0.17646,0.17518,0.147283,0.124682,0.139167,0.158744,0,-0.0167,0.00666
A15,-0.19709,-0.16293,-0.16819,-0.15018,-0.14399,-0.14657,0.17646,0.17518,0.147283,0.124682,0.139167,0.158744,2,0.1787,0.00748
A15,-0.19709,-0.16293,-0.16819,-0.15018,-0.14399,-0.14657,0.17646,0.17518,0.147283,0.124682,0.139167,0.158744,4,0.446,0.00919
A15,-0.19709,-0.16293,-0.16819,-0.15018,-0.14399,-0.14657,0.17646,0.17518,0.147283,0.124682,0.139167,0.158744,6,0.7312,0.01152
A15,-0.19709,-0.16293,-0.16819,-0.15018,-0.14399,-0.14657,0.17646,0.17518,0.147283,0.124682,0.139167,0.158744,8,0.9182,0.01439
A15,-0.19709,-0.16293,-0.16819,-0.15018,-0.14399,-0.14657,0.17646,0.17518,0.147283,0.124682,0.139167,0.158744,10,1.0399,0.0182
A16,-0.19318,-0.13896,-0.16383,-0.13625,-0.1466,-0.13887,0.159806,0.141841,0.14538,0.151327,0.146356,0.118763,-2,-0.2122,0.00708
A16,-0.19318,-0.13896,-0.16383,-0.13625,-0.1466,-0.13887,0.159806,0.141841,0.14538,0.151327,0.146356,0.118763,0,-0.0135,0.00615
A16,-0.19318,-0.13896,-0.16383,-0.13625,-0.1466,-0.13887,0.159806,0.141841,0.14538,0.151327,0.146356,0.118763,2,0.201,0.00658
A16,-0.19318,-0.13896,-0.16383,-0.13625,-0.1466,-0.13887,0.159806,0.141841,0.14538,0.151327,0.146356,0.118763,4,0.4608,0.00946
A16,-0.19318,-0.13896,-0.16383,-0.13625,-0.1466,-0.13887,0.159806,0.141841,0.14538,0.151327,0.146356,0.118763,6,0.7398,0.01246
A16,-0.19318,-0.13896,-0.16383,-0.13625,-0.1466,-0.13887,0.159806,0.141841,0.14538,0.151327,0.146356,0.118763,8,0.8877,0.01537
A16,-0.19318,-0.13896,-0.16383,-0.13625,-0.1466,-0.13887,0.159806,0.141841,0.14538,0.151327,0.146356,0.118763,10,1.0102,0.01966
A17,-0.16847,-0.16994,-0.15617,-0.14471,-0.13928,-0.14177,0.15856,0.163031,0.145953,0.138513,0.140052,0.140214,-2,-0.2233,0.00709
A17,-0.16847,-0.16994,-0.15617,-0.14471,-0.13928,-0.14177,0.15856,0.163031,0.145953,0.138513,0.140052,0.140214,0,-0.0058,0.00621
